clientId,clientsName,clientsLastName,km,kmBike,score,Fecha
861-52-5289,Donato,Duran,1.346,0,0,2022-02-01 00:00:00
861-52-5289,Donato,Duran,3.718,0,0,2022-02-02 00:00:00
159-28-9727,Eleuterio,Garcia,0,0,0,2022-02-01 00:00:00
159-28-9727,Eleuterio,Garcia,0,0,0,2022-02-02 00:00:00
767-57-5860,Eloy,Izaguirre,0,0,0,2022-02-01 00:00:00
767-57-5860,Eloy,Izaguirre,0,0,0,2022-02-02 00:00:00
487-39-1117,Encarnacion,Delgado,0,0,0,2022-02-01 00:00:00
487-39-1117,Encarnacion,Delgado,0,0,0,2022-02-02 00:00:00
205-47-4894,Epifanio,Marquez,0,0,0,2022-02-01 00:00:00
205-47-4894,Epifanio,Marquez,0,0,0,2022-02-02 00:00:00
398-33-1736,Estefanía,Moll,0,0,0,2022-02-01 00:00:00
398-33-1736,Estefanía,Moll,0,0,0,2022-02-02 00:00:00
212-36-7461,Esther,Campoy,2.552,0,0,2022-02-01 00:00:00
212-36-7461,Esther,Campoy,1.622,0,0,2022-02-02 00:00:00
697-54-9643,Fabiana,Viana,1.177,0,0,2022-02-01 00:00:00
697-54-9643,Fabiana,Viana,6.031,0,0,2022-02-02 00:00:00
741-54-6011,Fabio,Castelló,0,2.751,0,2022-02-01 00:00:00
741-54-6011,Fabio,Castelló,0,6.915,0,2022-02-02 00:00:00
481-86-5311,Fermín,Ródenas,2.203,0,0,2022-02-01 00:00:00
481-86-5311,Fermín,Ródenas,9.884,0,0,2022-02-02 00:00:00
536-71-6249,Fito,Barceló,0,0,0,2022-02-01 00:00:00
536-71-6249,Fito,Barceló,0,0,0,2022-02-02 00:00:00
460-58-2963,Florencio,Alvarez,0,0,0,2022-02-01 00:00:00
460-58-2963,Florencio,Alvarez,0,6.673,0,2022-02-02 00:00:00
815-44-2532,Florencio,Bellido,0,0,0,2022-02-01 00:00:00
815-44-2532,Florencio,Bellido,0,0,0,2022-02-02 00:00:00
507-42-6256,Florinda,Verdugo,2.424,0,0,2022-02-01 00:00:00
507-42-6256,Florinda,Verdugo,3.814,0,0,2022-02-02 00:00:00
858-42-8191,Gastón,Lucena,4.374,0,0,2022-02-01 00:00:00
858-42-8191,Gastón,Lucena,4.22,0,0,2022-02-02 00:00:00
003-70-2489,Guadalupe,Cabañas,0,0,0,2022-02-01 00:00:00
003-70-2489,Guadalupe,Cabañas,0,0,0,2022-02-02 00:00:00
950-17-5570,Hortensia,Giralt,0,0,0,2022-02-01 00:00:00
950-17-5570,Hortensia,Giralt,0,0,0,2022-02-02 00:00:00
107-42-0541,Inés,Patiño,0,0,0,2022-02-01 00:00:00
107-42-0541,Inés,Patiño,0,0,0,2022-02-02 00:00:00
361-05-1561,Irene,Escalona,0,0,0,2022-02-01 00:00:00
361-05-1561,Irene,Escalona,0,0,0,2022-02-02 00:00:00
000-50-0887,Jaime,Ricart,0,0,0,2022-02-01 00:00:00
000-50-0887,Jaime,Ricart,0,0,0,2022-02-02 00:00:00
145-82-2374,Javier,Nogués,0,0,0,2022-02-01 00:00:00
145-82-2374,Javier,Nogués,0,0,0,2022-02-02 00:00:00
213-60-6306,Jorge,Verdugo,0,3.27,0,2022-02-01 00:00:00
213-60-6306,Jorge,Verdugo,0,4.508,0,2022-02-02 00:00:00
734-50-4530,Leonel,Sureda,0,2.591,0,2022-02-01 00:00:00
734-50-4530,Leonel,Sureda,0,3.138,0,2022-02-02 00:00:00
977-01-0310,Lilia,Cano,6.687,0,0,2022-02-01 00:00:00
977-01-0310,Lilia,Cano,2.624,0,0,2022-02-02 00:00:00
962-16-9890,Lorena,Berenguer,0.424,0,0,2022-02-01 00:00:00
962-16-9890,Lorena,Berenguer,5.247,0,0,2022-02-02 00:00:00
009-52-6696,Lorenza,Busquets,0,1.4,0,2022-02-01 00:00:00
009-52-6696,Lorenza,Busquets,0,2.405,0,2022-02-02 00:00:00
702-67-9581,Lucas,Plaza,2.154,0,0,2022-02-01 00:00:00
702-67-9581,Lucas,Plaza,11.874,0,0,2022-02-02 00:00:00
137-01-2929,Lucio,Ripoll,2.381,0,0,2022-02-01 00:00:00
137-01-2929,Lucio,Ripoll,5.534,0,0,2022-02-02 00:00:00
912-36-9519,Manu,Losa,0,0,0,2022-02-01 00:00:00
912-36-9519,Manu,Losa,0,0,0,2022-02-02 00:00:00
247-54-2478,Marcela,Echevarría,1.789,0,0,2022-02-01 00:00:00
247-54-2478,Marcela,Echevarría,4.94,0,0,2022-02-02 00:00:00
049-08-1934,Marcial,Bonet,0,0,0,2022-02-01 00:00:00
049-08-1934,Marcial,Bonet,0,0,0,2022-02-02 00:00:00
465-95-1328,Marcos,Rozas,0,0,0,2022-02-01 00:00:00
465-95-1328,Marcos,Rozas,0,0,0,2022-02-02 00:00:00
176-55-4573,Mariana,Girón,0,0,0,2022-02-01 00:00:00
176-55-4573,Mariana,Girón,0,0,0,2022-02-02 00:00:00
790-58-3644,Mariano,Company,0,0,0,2022-02-01 00:00:00
790-58-3644,Mariano,Company,0,0,0,2022-02-02 00:00:00
785-69-8490,Maricruz,Gabaldón,0,1.789,0,2022-02-01 00:00:00
785-69-8490,Maricruz,Gabaldón,0,6.911,0,2022-02-02 00:00:00
686-90-6546,Marina,Galan,0,0.597,0,2022-02-01 00:00:00
686-90-6546,Marina,Galan,0,4.431,0,2022-02-02 00:00:00
054-05-6447,Marita,Paz,0,0,0,2022-02-01 00:00:00
054-05-6447,Marita,Paz,0,0,0,2022-02-02 00:00:00
257-75-2768,Maura,Quesada,0,0,0,2022-02-01 00:00:00
257-75-2768,Maura,Quesada,0,0,0,2022-02-02 00:00:00
892-73-6685,Modesta,Sala,0,1.915,0,2022-02-01 00:00:00
892-73-6685,Modesta,Sala,0,9.882,0,2022-02-02 00:00:00
467-45-0083,Narciso,Ledesma,5.878,0,0,2022-02-01 00:00:00
467-45-0083,Narciso,Ledesma,0,2.432,0,2022-02-02 00:00:00
140-25-5486,Nazaret,Doménech,0,4.071,0,2022-02-01 00:00:00
140-25-5486,Nazaret,Doménech,0,2.995,0,2022-02-02 00:00:00
124-02-9849,Nélida,Mármol,0,0,0,2022-02-01 00:00:00
124-02-9849,Nélida,Mármol,0,0,0,2022-02-02 00:00:00
142-22-1382,Nilda,Sebastián,0,2.305,0,2022-02-01 00:00:00
142-22-1382,Nilda,Sebastián,0,5.376,0,2022-02-02 00:00:00
415-55-0461,Odalis,Gisbert,0,0,0,2022-02-01 00:00:00
415-55-0461,Odalis,Gisbert,0,0,0,2022-02-02 00:00:00
665-72-7037,Óscar,Diez,0,0,0,2022-02-01 00:00:00
665-72-7037,Óscar,Diez,0,0,0,2022-02-02 00:00:00
684-77-1347,Paca,Serrano,1.949,0,0,2022-02-01 00:00:00
684-77-1347,Paca,Serrano,5.353,0,0,2022-02-02 00:00:00
076-67-1233,Paloma,Zapata,0,0,0,2022-02-01 00:00:00
076-67-1233,Paloma,Zapata,0,0,0,2022-02-02 00:00:00
840-55-8052,Pilar,Puerta,0,0,0,2022-02-01 00:00:00
840-55-8052,Pilar,Puerta,0,0,0,2022-02-02 00:00:00
194-18-9856,Pili,Montero,0.488,0,0,2022-02-01 00:00:00
194-18-9856,Pili,Montero,4.752,0,0,2022-02-02 00:00:00
629-72-9383,Ramona,Sanmiguel,0.797,0,0,2022-02-01 00:00:00
629-72-9383,Ramona,Sanmiguel,3.32,0,0,2022-02-02 00:00:00
913-83-0668,Remedios,Corral,0,0,0,2022-02-01 00:00:00
913-83-0668,Remedios,Corral,0,0,0,2022-02-02 00:00:00
081-23-9853,Renata,Lumbreras,0,3.892,0,2022-02-01 00:00:00
081-23-9853,Renata,Lumbreras,0,3.113,0,2022-02-02 00:00:00
225-65-9188,René,Llanos,0,1.534,0,2022-02-01 00:00:00
225-65-9188,René,Llanos,0,10.242,0,2022-02-02 00:00:00
441-07-2039,Reynaldo,Rueda,0,4.126,0,2022-02-01 00:00:00
441-07-2039,Reynaldo,Rueda,0,6.636,0,2022-02-02 00:00:00
639-90-8748,Rocío,Morillo,0,1.651,0,2022-02-01 00:00:00
639-90-8748,Rocío,Morillo,0,0.84,0,2022-02-02 00:00:00
771-04-3424,Rosalina,Merino,0,0,0,2022-02-01 00:00:00
771-04-3424,Rosalina,Merino,0,0,0,2022-02-02 00:00:00
698-35-1510,Rosalinda,Jerez,0,0,0,2022-02-01 00:00:00
698-35-1510,Rosalinda,Jerez,0,0,0,2022-02-02 00:00:00
438-68-9808,Samuel,Tello,0,1.041,0,2022-02-01 00:00:00
438-68-9808,Samuel,Tello,0,1.863,0,2022-02-02 00:00:00
013-57-0698,Sandalio,Cabo,0,1.145,0,2022-02-01 00:00:00
013-57-0698,Sandalio,Cabo,0,1.645,0,2022-02-02 00:00:00
550-98-4753,Sebastian,Álvarez,0,0,0,2022-02-01 00:00:00
550-98-4753,Sebastian,Álvarez,0,0,0,2022-02-02 00:00:00
282-55-2766,Susana,Marco,0,0,0,2022-02-01 00:00:00
282-55-2766,Susana,Marco,0,0,0,2022-02-02 00:00:00
782-89-8250,Tamara,Gimeno,4.017,0,0,2022-02-01 00:00:00
782-89-8250,Tamara,Gimeno,7.276,0,0,2022-02-02 00:00:00
979-95-0543,Teófila,Llanos,0,0,0,2022-02-01 00:00:00
979-95-0543,Teófila,Llanos,0,0,0,2022-02-02 00:00:00
132-27-8751,Teófilo,Guardiola,0,0,0,2022-02-01 00:00:00
132-27-8751,Teófilo,Guardiola,0,0,0,2022-02-02 00:00:00
798-24-3885,Tristán,Francisco,0,0,0,2022-02-01 00:00:00
798-24-3885,Tristán,Francisco,0,0,0,2022-02-02 00:00:00
254-14-4162,Vasco,Riquelme,0,1.825,0,2022-02-01 00:00:00
254-14-4162,Vasco,Riquelme,0,7.105,0,2022-02-02 00:00:00
288-80-3184,Venceslás,Artigas,0,0.851,0,2022-02-01 00:00:00
288-80-3184,Venceslás,Artigas,0,10.364,0,2022-02-02 00:00:00
592-51-3380,Virgilio,Martínez,2.25,0,0,2022-02-01 00:00:00
592-51-3380,Virgilio,Martínez,9.309,0,0,2022-02-02 00:00:00
110-31-6259,Xavier,Lluch,5.095,0,0,2022-02-01 00:00:00
110-31-6259,Xavier,Lluch,5.294,0,0,2022-02-02 00:00:00
